"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","63,000",""
"SURVEY","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","2022","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","510,000",""
"SURVEY","2022","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","11,000",""
"SURVEY","2022","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","12,000",""
"SURVEY","2022","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","28,000",""
"SURVEY","2022","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","9,000",""
"SURVEY","2022","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","50,000",""
"SURVEY","2022","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,050,000",""
"SURVEY","2022","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","9,000",""
"SURVEY","2022","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","15,000",""
"SURVEY","2022","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","740,000",""
"SURVEY","2022","YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2022","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","48,000",""
"SURVEY","2022","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2022","YEAR","","STATE","UTAH","49","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","14,000",""
"SURVEY","2022","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2022","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","85,000",""
"SURVEY","2022","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","2022","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","80,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","ARIZONA","04","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","CALIFORNIA","06","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","COLORADO","08","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","63,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","DELAWARE","10","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","510,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","KANSAS","20","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","11,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","MAINE","23","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","12,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","MARYLAND","24","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","28,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","MICHIGAN","26","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","9,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","MINNESOTA","27","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","50,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,050,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","9,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","15,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","740,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","48,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","UTAH","49","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","14,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","VIRGINIA","51","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","WASHINGTON","53","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","85,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","WISCONSIN","55","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","2022","YEAR - MAR ACREAGE","","STATE","WYOMING","56","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","80,000",""
