"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","758,614","36.4"
"CENSUS","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","346,949","43.0"
"CENSUS","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,308,128","37.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,512","54.1"
"CENSUS","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","48,652","62.3"
"CENSUS","2019","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,000","68.2"
"CENSUS","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","14,124","32.7"
"CENSUS","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10,306","32.7"
"CENSUS","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","BARLEY","BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6,056","54.1"
