"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","123,774","39.6"
"CENSUS","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","21,292","36.1"
"CENSUS","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","15,134","41.0"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","211,035","43.7"
"CENSUS","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","21,792","43.7"
"CENSUS","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","903,343","29.0"
"CENSUS","2019","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7,786","32.7"
"CENSUS","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,638","32.7"
"CENSUS","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","69,017","43.7"
"CENSUS","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","OATS","OATS, ORGANIC - PRODUCTION, MEASURED IN BU","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","344,081","21.7"
