"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","4,436","39.8"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","3","(H)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","68","56.3"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","2,221","0.4"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","40","29.4"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","765","80.1"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","2,451","78.7"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","3,476","14.3"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","160","29.8"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","238","56.6"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","1,971","88.6"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","453","(H)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","3,770","46.7"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","3","(H)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","3,416","14.5"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","129","22.4"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","930","56.4"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","136","(H)"
