"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","590,577","8.9"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 TO 1,999 ACRES)","331,922","10.8"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 14.9 ACRES)","92","81.2"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","60,607","18.0"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (15.0 TO 24.9 ACRES)","381","21.4"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (2,000 TO 2,999 ACRES)","127,776","1.4"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 49.9 ACRES)","4,341","25.2"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","157,433","15.2"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (3,000 TO 4,999 ACRES)","91,843","1.6"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (5,000 OR MORE ACRES)","39,036","86.5"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (50.0 TO 99.9 ACRES)","11,743","61.0"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","278,559","10.3"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","230,029","13.5"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","1,539","60.9"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","2,559","66.3"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","1,233","41.7"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","775,347","5.5"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","1,922","35.7"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","16,065","29.5"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","73,459","19.7"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","629","7.2"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","888,503","7.4"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","440","25.6"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","16,348","20.3"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","1,232","16.2"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","51,405","27.8"
