"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","760,743","54.3"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","596,998","21.7"
"CENSUS","2016","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","733,466","14.1"
"CENSUS","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
