"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,156","56.0"
"CENSUS","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","792","33.0"
"CENSUS","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,112","33.0"
"CENSUS","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7,227","33.4"
"CENSUS","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,363","58.7"
"CENSUS","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","786","69.3"
"CENSUS","2019","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,626","33.0"
"CENSUS","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3,340","42.8"
"CENSUS","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,209","33.0"
"CENSUS","2019","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7,892","34.3"
"CENSUS","2019","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,320","(H)"
"CENSUS","2019","YEAR","","STATE","OHIO","39","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3,969","34.9"
"CENSUS","2019","YEAR","","STATE","OREGON","41","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7,023","30.2"
"CENSUS","2019","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","467","58.7"
